GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.user.request,SaveUserDTO.SaveUserDTOBuilder,49,0,0,0,1,0,6,0,6,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.user.request,SaveUserDTO,184,0,30,0,4,0,28,0,13,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.brand.request,BrandRequestDTO.BrandRequestDTOBuilder,25,0,0,0,1,0,4,0,4,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.brand.request,BrandRequestDTO,76,16,14,0,1,3,12,4,5,4
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.login.response,TokenDTO,18,0,0,0,3,0,4,0,4,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.model,Brand,209,17,38,0,1,2,28,5,9,5
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.model,User,380,8,62,0,8,2,56,1,25,1
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.model,Profile,138,3,22,0,4,1,22,1,11,1
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.model,Profile.ProfileBuilder,37,0,0,0,1,0,5,0,5,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.profile,ProfileDTO,125,0,22,0,1,0,20,0,9,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.exception,ExceptionResponse,13,0,0,0,3,0,3,0,3,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.exception,ErrorValidationDTO.ErrorValidationDTOBuilder,37,0,0,0,1,0,5,0,5,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.exception,ErrorValidationDTO,19,0,0,0,3,0,4,0,4,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.dto.exception,ExceptionResponse.ExceptionResponseBuilder,25,0,0,0,1,0,4,0,4,0
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.config.security,AuthenticationService,30,7,2,0,7,3,2,2,1,2
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.config.security,SecurityConfigurations,0,66,0,0,0,14,0,5,0,5
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.config.security,AuthenticationTokenFilter,40,33,6,2,7,12,5,3,1,3
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.config.security,TokenService,69,10,0,0,17,4,2,3,2,3
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api,AceleratwTurma2Grupo4ApiApplication,5,3,0,0,2,1,1,1,1,1
aceleratw-turma2-grupo4-api,com.tw.acelera.grupo4.aceleratwturma2grupo4api.controller,BrandController,0,103,0,0,0,22,0,6,0,6
